GeneID	ENCSR648QFY_PCBP2_shRNA_11.exon	ENCSR648QFY_PCBP2_shRNA_11.intron	All.exon	All.intron
ENSG00000000003	2	0	929005	18552
ENSG00000000005	1	0	293	143
ENSG00000000419	1064	1162	1379782	532879
ENSG00000000457	156	167	209387	98709
ENSG00000000460	646	662	438328	223786
ENSG00000000938	0	0	115	366
ENSG00000000971	1473	1035	828871	437005
ENSG00000001036	1468	431	2351362	278541
ENSG00000001084	420	387	984458	311411
ENSG00000001167	144	270	197612	135496
ENSG00000001460	14	223	41266	96330
ENSG00000001461	89	908	65286	257933
ENSG00000001497	1037	800	940252	465746
ENSG00000001561	0	0	5625	278
ENSG00000001617	56	79	272487	44924
ENSG00000001626	0	0	70	466
ENSG00000001629	940	1587	1112666	634915
ENSG00000001630	1768	1252	1705945	412233
ENSG00000001631	602	1243	593419	439411
ENSG00000002016	23	277	42066	137927
ENSG00000002330	1	47	2474	24082
ENSG00000002549	1242	169	1727372	142401
ENSG00000002586	68	112	357248	79606
ENSG00000002587	0	0	7	26
ENSG00000002726	0	0	23	19
ENSG00000002745	0	0	10	114
ENSG00000002746	1	54	980	17206
ENSG00000002834	3817	561	6237030	176686
ENSG00000002919	57	89	48977	36426
ENSG00000002933	0	0	111	65
ENSG00000003056	1227	298	1684447	299945
ENSG00000003137	0	0	274	576
ENSG00000003147	139	746	106044	377246
ENSG00000003249	2	54	12995	59465
ENSG00000003393	726	611	910305	383962
ENSG00000003400	72	652	62721	316975
ENSG00000003402	39	1455	43939	834432
ENSG00000003436	1849	1350	3022834	1548369
ENSG00000003509	223	209	276041	144549
ENSG00000003756	1068	1921	1742318	1279330
ENSG00000003987	2	6	3853	3955
ENSG00000003989	0	0	567799	209172
ENSG00000004059	807	84	1300092	76634
ENSG00000004139	8	26	23593	12214
ENSG00000004142	1133	157	1768332	74204
ENSG00000004399	356	341	1397354	389903
ENSG00000004455	6429	2448	6015191	1365910
ENSG00000004468	0	1	79	2045
ENSG00000004478	2637	203	2487768	91809
ENSG00000004487	3331	2393	3004815	937318
ENSG00000004534	934	2435	1415594	839180
ENSG00000004660	38	182	36800	70802
ENSG00000004700	730	269	523328	172618
ENSG00000004766	407	688	249831	233161
ENSG00000004777	7	232	5021	117696
ENSG00000004779	1472	318	1191138	208745
ENSG00000004799	16	3	14847	1107
ENSG00000004809	0	0	1727	674
ENSG00000004838	19	19	14009	11207
ENSG00000004846	0	2	5	1236
ENSG00000004848	0	0	347	115
ENSG00000004866	378	1554	333961	605923
ENSG00000004897	1939	2578	1974629	399679
ENSG00000004939	108	34	166816	14694
ENSG00000004948	2	0	422	1404
ENSG00000004961	703	108	454757	59517
ENSG00000004975	370	171	747137	105593
ENSG00000005001	0	2	1816	2858
ENSG00000005007	1797	899	2157655	191342
ENSG00000005020	501	317	543841	113904
ENSG00000005022	7965	46	6026771	38538
ENSG00000005059	62	104	58624	36633
ENSG00000005073	0	0	929	33
ENSG00000005075	369	41	708800	32906
ENSG00000005100	91	281	110846	142910
ENSG00000005102	0	0	0	68
ENSG00000005156	485	421	804254	180477
ENSG00000005175	1031	749	671189	218438
ENSG00000005187	2304	632	2028877	494812
ENSG00000005189	434	568	467073	270236
ENSG00000005194	387	393	335298	204852
ENSG00000005206	100	973	344445	811358
ENSG00000005238	54	124	74494	61656
ENSG00000005243	0	7	2754	9895
ENSG00000005249	6648	2187	2935619	446478
ENSG00000005302	203	461	142197	330418
ENSG00000005339	740	1412	1043994	289058
ENSG00000005379	40	154	28312	52607
ENSG00000005381	4	1	1477	539
ENSG00000005421	0	1	8357	3528
ENSG00000005436	241	515	321947	378663
ENSG00000005448	72	50	131634	25482
ENSG00000005469	33	160	107267	177900
ENSG00000005471	13	18	350364	159214
ENSG00000005483	2409	2602	2656747	546509
ENSG00000005486	218	130	569554	139338
ENSG00000005513	1	0	6050	1057
ENSG00000005700	1963	947	1932254	376516
ENSG00000005801	10	737	9226	505082
ENSG00000005810	1141	704	1204304	251248
ENSG00000005812	286	153	420834	72148
ENSG00000005844	1	0	19577	7095
ENSG00000005882	2	11	128638	19186
ENSG00000005884	3	14	51301	14644
ENSG00000005889	404	428	430443	137649
ENSG00000005893	665	611	1441542	296143
ENSG00000005961	208	403	194576	146631
ENSG00000005981	0	1	69047	32472
ENSG00000006007	1001	78	1822203	35666
ENSG00000006015	29	82	58383	98585
ENSG00000006016	13	10	1808083	232780
ENSG00000006025	259	453	267198	184312
ENSG00000006042	114	139	308050	134067
ENSG00000006047	0	2	2971	4696
ENSG00000006059	0	0	3	8
ENSG00000006062	125	509	137506	98687
ENSG00000006116	0	1	100	620
ENSG00000006118	1	2	304271	95080
ENSG00000006125	3339	2720	3295863	777287
ENSG00000006128	0	0	63	492
ENSG00000006194	845	170	613370	109453
ENSG00000006210	0	0	1367682	27280
ENSG00000006282	22	12	516086	127570
ENSG00000006283	1	6	477	1430
ENSG00000006327	165	75	494591	49454
ENSG00000006377	0	0	74879	7051
ENSG00000006432	31	28	292131	36908
ENSG00000006451	1287	653	1038565	176632
ENSG00000006453	621	1235	877416	700137
ENSG00000006459	1214	647	1477684	278008
ENSG00000006468	51	208	53435	114247
ENSG00000006530	12	802	5318	380385
ENSG00000006534	0	1	18383	25323
ENSG00000006555	0	1	115	983
ENSG00000006576	1471	1883	836966	523797
ENSG00000006606	28	39	17928	13079
ENSG00000006607	97	1056	191345	858598
ENSG00000006611	0	3	428	3781
ENSG00000006634	2149	1288	1355698	398097
ENSG00000006638	5	75	5487	43867
ENSG00000006652	1221	1037	920826	629041
ENSG00000006659	0	0	177	138
ENSG00000006695	389	273	398547	107570
ENSG00000006704	335	1441	508231	322170
ENSG00000006712	472	297	650826	333874
ENSG00000006715	750	1481	450749	732119
ENSG00000006740	1	2	18723	18811
ENSG00000006744	429	509	623462	178231
ENSG00000006747	427	163	353073	88846
ENSG00000006756	1	1	22310	19115
ENSG00000006757	187	61	300242	34708
ENSG00000006831	2844	922	2583731	298126
ENSG00000006837	33	326	25100	118641
ENSG00000007001	0	0	3628	7727
ENSG00000007038	290	586	358858	664842
ENSG00000007047	148	735	383283	169609
ENSG00000007062	0	4	195653	97232
ENSG00000007080	308	131	512220	94070
ENSG00000007129	0	2	323	1326
ENSG00000007168	2016	1710	1829797	383635
ENSG00000007171	0	0	675	218
ENSG00000007174	0	1	200	1459
ENSG00000007202	5149	2681	4678826	485150
