GeneID	SRR1957124.tab.exon	SRR1957124.tab.intron	SRR1957125.tab.exon	SRR1957125.tab.intron	SRR1957183.tab.exon	SRR1957183.tab.intron	SRR1957186.tab.exon	SRR1957186.tab.intron	SRR1957188.tab.exon	SRR1957188.tab.intron	SRR1957191.tab.exon	SRR1957191.tab.intron	SRR1957192.tab.exon	SRR1957192.tab.intron	SRR1957193.tab.exon	SRR1957193.tab.intron	SRR1957195.tab.exon	SRR1957195.tab.intron	SRR1957197.tab.exon	SRR1957197.tab.intron	SRR1957198.tab.exon	SRR1957198.tab.intron	SRR1957200.tab.exon	SRR1957200.tab.intron	SRR1957201.tab.exon	SRR1957201.tab.intron	SRR1957202.tab.exon	SRR1957202.tab.intron	SRR1957203.tab.exon	SRR1957203.tab.intron	SRR1957205.tab.exon	SRR1957205.tab.intron	SRR1957206.tab.exon	SRR1957206.tab.intron	SRR1957207.tab.exon	SRR1957207.tab.intron	SRR1957208.tab.exon	SRR1957208.tab.intron	SRR1957209.tab.exon	SRR1957209.tab.intron
ENSG00000000003.10	1	0	0	0	0	0	1	0	6	0	0	0	5	0	5	0	0	0	3	0	5	1	2	0	1	0	2	0	1	0	0	1	0	0	7	0	7	1	1	0
ENSG00000000005.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419.8	1	6	3	11	0	1	1	2	0	2	5	0	1	1	0	3	2	2	2	4	1	3	1	2	2	2	0	3	0	2	2	2	0	11	0	1	1	2	0	3
ENSG00000000457.9	2	0	3	3	0	0	4	4	3	2	0	0	2	3	2	3	3	1	2	7	2	7	2	3	0	0	1	4	2	2	2	5	5	2	5	7	2	1	1	3
ENSG00000000460.12	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	2	0	2	0	1	0	1	0	0	1	1	1	6	1	9	0	0	1	1	1	1
ENSG00000000938.8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	7	0	0	0	0	0	0	0	0	1	0	13	9	0	0	1	1	0	0	0	1	0	1
ENSG00000000971.11	10	0	3	0	0	0	2	0	78	12	3	2	2	0	113	64	6	3	2	0	9	4	6	2	3	3	8	7	2	0	6	8	9	1	15	4	10	12	1	2
ENSG00000001036.9	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	2	0	1	0	0	0	0	1	0	0	0	0	3	0	0	2	1	0	0	0	0
ENSG00000001084.6	5	3	3	6	1	2	2	2	20	10	2	3	5	2	13	2	3	6	6	1	15	7	2	2	4	1	10	10	3	2	8	6	3	3	4	3	7	23	4	6
ENSG00000001460.13	0	1	0	4	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	0	2	0	0	0	4	0	1	1	1
ENSG00000001461.12	3	3	16	13	27	9	3	1	0	1	8	0	5	2	0	1	9	3	2	3	35	31	7	1	0	1	3	7	2	2	5	7	5	8	21	14	6	13	4	1
ENSG00000001497.12	3	3	2	2	2	2	1	6	2	0	3	0	3	0	4	0	1	1	1	0	4	2	0	1	1	0	5	2	4	0	2	2	4	3	3	1	1	0	2	2
ENSG00000001561.6	4	0	9	1	7	0	1	0	1	0	4	1	7	0	1	0	8	0	0	0	8	0	6	0	6	0	1	1	4	0	6	0	3	2	4	1	5	4	0	0
ENSG00000001617.7	0	0	0	0	2	0	5	9	0	0	1	0	0	0	0	0	1	0	1	1	3	2	1	3	0	0	1	3	8	3	2	2	1	2	3	0	0	5	0	1
ENSG00000001626.10	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	3	6	2	1	2	2	12	23	0	0	6	8	0	0	5	14	0	0	0	1	1	4	0	0
ENSG00000001629.5	12	12	22	35	14	30	12	17	1	3	8	2	10	18	1	6	2	18	8	20	7	24	8	11	3	7	8	11	6	17	6	31	14	47	12	36	7	23	5	24
ENSG00000001630.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001631.10	1	6	9	10	5	3	2	1	1	1	1	0	3	3	2	0	3	4	2	9	5	6	3	4	0	3	1	5	5	6	3	10	1	12	7	11	0	5	0	6
ENSG00000002016.12	2	2	1	3	2	3	3	5	0	1	0	0	0	0	0	1	1	3	1	2	0	2	0	1	1	0	2	1	1	5	2	3	3	3	2	1	2	1	2	3
ENSG00000002079.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330.9	0	1	2	2	1	1	2	0	0	0	3	0	2	0	0	0	1	1	0	5	0	0	2	1	0	0	1	3	0	3	2	0	1	3	3	3	0	0	0	0
ENSG00000002549.8	5	4	1	3	3	0	1	4	2	0	2	2	12	11	11	4	5	4	0	1	1	0	4	1	4	0	5	2	9	11	5	1	2	9	2	3	1	4	2	0
ENSG00000002586.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.5	0	2	14	19	3	6	1	1	0	0	1	0	2	4	0	0	0	0	0	0	1	0	1	1	0	0	2	3	1	2	3	3	0	8	0	0	3	12	2	0
ENSG00000002726.15	0	0	0	0	0	0	0	0	0	0	1	0	77	0	1	0	0	0	71	1	3	0	0	0	0	0	17	1	0	0	3	0	0	0	0	0	0	0	0	0
ENSG00000002745.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746.10	0	0	9	27	16	38	15	47	0	0	0	0	7	18	0	0	0	0	0	0	1	15	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1
ENSG00000002822.11	1	10	0	6	0	15	2	24	0	1	3	2	1	5	2	1	6	18	0	6	0	16	3	10	3	3	0	10	3	28	3	24	5	39	1	5	1	17	2	25
ENSG00000002834.13	3	4	0	1	0	0	6	13	7	4	0	0	0	6	1	2	1	14	1	5	0	4	3	2	0	1	4	14	2	14	5	12	0	13	0	1	1	9	4	12
ENSG00000002919.10	1	0	4	1	1	0	0	0	1	0	1	0	2	0	3	0	3	0	2	1	1	0	0	0	2	0	0	0	2	0	2	0	0	1	2	0	1	0	2	0
ENSG00000002933.3	1	0	0	0	0	0	0	0	12	0	1	0	18	0	14	1	1	0	2	0	0	0	0	0	1	0	4	0	2	0	2	0	1	0	0	0	0	0	0	0
ENSG00000003056.3	9	0	3	0	8	1	4	1	3	0	12	0	8	0	5	0	10	0	3	2	8	0	2	1	0	0	11	2	13	1	7	2	13	3	9	2	4	2	9	1
ENSG00000003096.9	0	5	1	1	2	1	3	2	0	1	3	3	7	16	0	2	0	4	0	1	2	9	0	1	0	1	3	13	0	2	0	11	1	11	0	2	1	2	7	82
ENSG00000003137.4	0	0	3	2	9	1	3	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	0	1	0	0	1
ENSG00000003147.13	2	2	7	25	13	21	7	3	0	1	8	15	2	4	3	1	3	19	0	9	6	37	3	14	0	2	2	10	1	3	2	18	1	4	1	13	5	23	0	5
ENSG00000003249.9	1	0	1	0	4	0	6	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	2	0	2	0
ENSG00000003393.10	1	6	39	57	14	24	18	4	5	2	8	1	1	2	6	4	4	8	0	3	6	6	4	2	3	3	5	6	6	2	7	9	5	8	7	6	6	2	10	9
ENSG00000003400.10	1	1	0	0	0	1	1	1	0	2	0	1	0	1	0	4	2	8	1	2	4	3	0	2	0	1	3	9	3	16	1	8	1	5	0	4	2	4	3	3
ENSG00000003402.15	4	16	1	7	2	3	1	5	1	3	7	12	1	12	2	7	11	31	1	33	2	12	4	7	5	10	3	25	9	26	2	18	4	15	3	17	2	23	0	15
ENSG00000003436.10	0	5	0	0	0	0	0	1	0	7	0	3	0	3	0	8	0	15	0	24	0	4	0	2	0	3	0	10	0	1	0	10	0	1	0	12	0	1	0	7
ENSG00000003509.11	0	1	1	3	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	2	3	1	2	4	2	0	0	0	0
ENSG00000003756.12	9	3	10	1	1	1	12	3	4	0	6	0	4	2	5	1	12	3	16	6	11	1	7	1	4	1	12	3	15	4	9	5	11	11	9	4	7	4	13	5
ENSG00000003987.9	0	0	4	35	0	18	3	25	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0
ENSG00000003989.12	4	8	3	0	3	0	1	0	70	27	8	0	5	1	70	22	5	6	80	33	11	14	4	0	64	28	6	1	1	2	4	0	1	0	28	10	12	12	13	6
ENSG00000004139.9	1	1	0	4	0	2	5	7	0	1	0	0	0	3	0	0	0	1	0	1	0	1	0	1	0	0	1	3	0	6	1	0	0	1	0	3	0	0	0	2
ENSG00000004142.7	20	0	8	1	7	1	6	3	7	0	13	0	14	0	13	1	7	0	4	0	10	2	9	0	16	0	4	0	8	0	3	1	3	0	6	2	1	0	2	1
ENSG00000004399.8	4	4	0	0	4	3	7	0	0	0	8	2	6	1	5	2	20	11	8	3	3	4	1	1	2	0	4	3	11	5	8	5	7	12	2	0	2	1	10	5
ENSG00000004455.12	0	8	1	8	0	6	0	5	0	1	1	2	0	9	0	6	0	4	0	1	0	4	0	4	0	1	0	10	0	7	0	4	0	4	1	9	0	5	0	6
ENSG00000004468.8	0	0	1	0	3	2	2	1	0	3	0	2	0	1	1	0	1	4	1	2	14	18	1	1	7	1	8	4	14	25	3	6	34	138	1	2	2	3	0	2
ENSG00000004478.5	0	0	0	2	0	0	0	6	1	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	3
ENSG00000004487.11	0	9	0	8	0	11	0	13	0	2	0	3	0	14	0	1	0	9	0	7	0	15	0	8	0	2	0	14	0	4	0	10	0	14	0	10	0	26	0	11
ENSG00000004534.10	9	51	9	28	6	26	14	52	4	9	1	4	1	26	5	19	7	55	1	33	9	48	5	27	2	22	13	48	15	50	7	37	10	96	10	41	3	41	3	66
ENSG00000004660.10	2	2	7	1	10	5	1	0	0	0	1	0	0	0	0	0	1	3	0	0	1	0	1	3	0	0	0	0	1	1	1	1	0	0	1	1	3	2	0	3
ENSG00000004700.11	3	1	1	0	1	3	0	2	0	2	0	1	1	1	0	2	2	3	2	0	3	1	0	2	0	0	3	2	5	4	0	1	4	4	1	2	0	1	0	2
ENSG00000004766.11	2	4	3	26	2	5	2	7	2	0	0	1	0	8	2	0	0	6	1	3	0	13	0	4	1	1	1	9	1	8	0	13	3	19	1	14	0	3	2	16
ENSG00000004776.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004777.14	0	0	0	0	2	1	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	0	0	0	0	1
ENSG00000004779.5	3	0	0	0	1	3	5	2	2	1	8	2	2	1	1	2	0	1	2	3	2	2	0	1	8	0	2	0	2	2	1	2	2	0	2	5	1	0	4	2
ENSG00000004799.7	53	13	5	0	1	0	2	0	14	0	147	10	55	15	7	0	6	1	19	3	23	17	7	1	107	0	32	9	25	5	12	2	0	2	21	13	10	3	9	0
ENSG00000004809.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
ENSG00000004846.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848.6	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004864.9	1	24	2	10	0	13	0	4	9	7	0	2	10	21	24	40	2	20	0	13	2	27	2	12	3	14	8	35	4	17	2	32	2	14	1	23	4	21	3	33
ENSG00000004866.14	0	8	0	54	1	18	0	37	0	0	1	2	0	10	1	1	1	11	0	15	0	9	1	3	0	6	0	6	0	3	0	9	0	1	1	12	1	10	0	9
