GeneID	SRR1957124.tab.exon	SRR1957124.tab.intron	SRR1957125.tab.exon	SRR1957125.tab.intron	SRR1957183.tab.exon	SRR1957183.tab.intron	SRR1957186.tab.exon	SRR1957186.tab.intron	SRR1957188.tab.exon	SRR1957188.tab.intron	SRR1957191.tab.exon	SRR1957191.tab.intron	SRR1957192.tab.exon	SRR1957192.tab.intron	SRR1957193.tab.exon	SRR1957193.tab.intron	SRR1957195.tab.exon	SRR1957195.tab.intron	SRR1957197.tab.exon	SRR1957197.tab.intron	SRR1957198.tab.exon	SRR1957198.tab.intron	SRR1957200.tab.exon	SRR1957200.tab.intron	SRR1957201.tab.exon	SRR1957201.tab.intron	SRR1957202.tab.exon	SRR1957202.tab.intron	SRR1957203.tab.exon	SRR1957203.tab.intron	SRR1957205.tab.exon	SRR1957205.tab.intron	SRR1957206.tab.exon	SRR1957206.tab.intron	SRR1957207.tab.exon	SRR1957207.tab.intron	SRR1957208.tab.exon	SRR1957208.tab.intron	SRR1957209.tab.exon	SRR1957209.tab.intron
ENSG00000000003.10	475	15	98	5	92	21	297	28	1411	15	114	1	964	34	935	16	313	42	360	26	936	102	1558	18	55	4	550	48	250	9	357	57	127	7	840	27	1228	62	416	266
ENSG00000000005.5	2	0	0	0	0	0	3	0	0	0	2	0	6	0	1	0	0	0	8	2	8	1	3	0	52	1	1	0	0	0	3	0	4	3	2	0	4	1	6	0
ENSG00000000419.8	368	985	171	1244	106	562	142	310	143	198	221	130	236	443	140	335	174	375	263	869	213	846	179	436	297	213	232	661	211	544	196	790	317	1459	257	1198	154	611	183	623
ENSG00000000457.9	379	539	309	570	194	483	274	484	181	138	206	111	202	415	387	427	377	613	470	1075	535	913	374	624	236	67	386	659	538	837	596	1159	498	1361	569	1273	395	631	397	694
ENSG00000000460.12	76	129	111	403	74	282	86	248	60	66	32	43	15	57	121	416	78	187	123	533	131	400	46	123	26	119	111	213	128	295	152	646	551	2051	124	406	79	164	100	485
ENSG00000000938.8	88	106	29	18	50	39	51	17	150	62	142	50	53	26	143	142	1525	1336	81	64	74	66	47	29	21	19	56	44	2397	1437	198	226	160	213	71	40	81	195	166	234
ENSG00000000971.11	1798	461	266	104	114	61	114	40	13154	1952	884	194	551	192	20223	11439	1269	948	264	200	1085	820	928	637	618	362	1703	1063	417	188	2181	1591	665	445	3374	2027	2793	2224	492	260
ENSG00000001036.9	111	129	35	71	28	37	23	37	120	15	69	15	124	100	59	40	103	93	123	162	71	85	57	34	13	9	131	238	82	77	103	170	10	41	86	99	59	39	44	86
ENSG00000001084.6	958	790	738	652	698	676	400	316	2526	2995	464	149	782	624	1866	1133	774	716	584	813	1817	2450	471	496	394	260	1666	2145	1636	1268	1198	1740	466	664	847	993	2198	6706	713	1040
ENSG00000001460.13	37	162	159	732	155	434	97	110	14	13	37	67	32	75	9	33	65	259	15	60	62	366	45	93	16	27	69	261	19	158	51	259	47	184	78	300	109	352	68	328
